value,qualifiers,dateTime,station,parameter,param_code
14.8,['P'],2026-02-08 13:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.9,['P'],2026-02-08 13:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
14.9,['P'],2026-02-08 13:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.0,['P'],2026-02-08 13:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.1,['P'],2026-02-08 14:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.2,['P'],2026-02-08 14:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.3,['P'],2026-02-08 14:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.3,['P'],2026-02-08 14:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-08 15:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-08 15:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.5,['P'],2026-02-08 15:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-08 15:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-08 16:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-08 16:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.8,['P'],2026-02-08 16:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-08 16:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.9,['P'],2026-02-08 17:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-08 17:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-08 17:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-08 17:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-08 18:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.1,['P'],2026-02-08 18:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
